event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,79,2025-05-11T15:20:00,2025,9,Geelong,Greater Western Sydney,101.0,105.0,loss,1536.5470689830836,1517.5028843288087,-19.044184654274886
match,79,2025-05-11T15:20:00,2025,9,Greater Western Sydney,Geelong,105.0,101.0,win,1498.1284301347473,1517.1726147890222,19.044184654274886
match,80,2025-05-11T16:40:00,2025,9,North Melbourne,Brisbane Lions,71.0,71.0,draw,1418.629958212594,1422.9329594379142,4.3030012253202585
match,80,2025-05-11T16:40:00,2025,9,Brisbane Lions,North Melbourne,71.0,71.0,draw,1578.1751150876335,1573.8721138623132,-4.3030012253202585
match,81,2025-05-15T19:30:00,2025,10,Gold Coast,Hawthorn,104.0,96.0,win,1554.059269695942,1566.9437079518377,12.884438255895702
match,81,2025-05-15T19:30:00,2025,10,Hawthorn,Gold Coast,96.0,104.0,loss,1560.5386858595675,1547.6542476036718,-12.884438255895702
match,82,2025-05-16T19:40:00,2025,10,Sydney,Carlton,78.0,62.0,win,1466.22746821853,1480.2056794310795,13.978211212549468
match,82,2025-05-16T19:40:00,2025,10,Carlton,Sydney,62.0,78.0,loss,1497.1795801321969,1483.2013689196474,-13.978211212549468
match,83,2025-05-17T13:20:00,2025,10,Collingwood,Adelaide,78.0,68.0,win,1565.680878499197,1577.2074506175468,11.526572118349804
match,83,2025-05-17T13:20:00,2025,10,Adelaide,Collingwood,68.0,78.0,loss,1539.2001844013093,1527.6736122829595,-11.526572118349804
match,84,2025-05-17T16:15:00,2025,10,Greater Western Sydney,Fremantle,61.0,95.0,loss,1517.1726147890222,1498.169443168077,-19.003171620945295
match,84,2025-05-17T16:15:00,2025,10,Fremantle,Greater Western Sydney,95.0,61.0,win,1484.4636328634904,1503.4668044844357,19.003171620945295
match,85,2025-05-17T16:15:00,2025,10,Port Adelaide,Geelong,39.0,115.0,loss,1484.2779343757943,1467.7748204752788,-16.503113900515473
match,85,2025-05-17T16:15:00,2025,10,Geelong,Port Adelaide,115.0,39.0,win,1517.5028843288087,1534.0059982293242,16.503113900515473
match,86,2025-05-17T19:35:00,2025,10,Western Bulldogs,Essendon,127.0,36.0,win,1516.2582632932906,1529.4757008110867,13.217437517796043
match,86,2025-05-17T19:35:00,2025,10,Essendon,Western Bulldogs,36.0,127.0,loss,1525.2507750237899,1512.0333375059938,-13.217437517796043
match,87,2025-05-18T13:10:00,2025,10,Richmond,North Melbourne,74.0,78.0,loss,1458.0942399770563,1438.9005097277209,-19.19373024933543
match,87,2025-05-18T13:10:00,2025,10,North Melbourne,Richmond,78.0,74.0,win,1422.9329594379142,1442.1266896872496,19.19373024933543
match,88,2025-05-18T15:20:00,2025,10,Brisbane Lions,Melbourne,88.0,99.0,loss,1573.8721138623132,1551.9120753014463,-21.960038560866906
match,88,2025-05-18T15:20:00,2025,10,Melbourne,Brisbane Lions,99.0,88.0,win,1458.3581815202065,1480.3182200810734,21.960038560866906
match,89,2025-05-18T16:40:00,2025,10,West Coast,St Kilda,108.0,80.0,win,1380.7544582177493,1397.6679613959352,16.91350317818592
match,89,2025-05-18T16:40:00,2025,10,St Kilda,West Coast,80.0,108.0,loss,1478.1758755038218,1461.2623723256359,-16.91350317818592
match,90,2025-05-22T19:30:00,2025,11,Geelong,Western Bulldogs,127.0,113.0,win,1534.0059982293242,1546.1731906916596,12.167192462335379
match,90,2025-05-22T19:30:00,2025,11,Western Bulldogs,Geelong,113.0,127.0,loss,1529.4757008110867,1517.3085083487513,-12.167192462335379
match,91,2025-05-23T19:40:00,2025,11,Essendon,Richmond,81.0,58.0,win,1512.0333375059938,1521.5469999749973,9.51366246900352
match,91,2025-05-23T19:40:00,2025,11,Richmond,Essendon,58.0,81.0,loss,1438.9005097277209,1429.3868472587174,-9.51366246900352
match,92,2025-05-24T12:35:00,2025,11,Carlton,Greater Western Sydney,82.0,110.0,loss,1483.2013689196474,1466.219304514184,-16.98206440546346
match,92,2025-05-24T12:35:00,2025,11,Greater Western Sydney,Carlton,110.0,82.0,win,1498.169443168077,1515.1515075735404,16.98206440546346
match,93,2025-05-24T16:15:00,2025,11,Hawthorn,Brisbane Lions,60.0,93.0,loss,1547.6542476036718,1530.1868502563127,-17.46739734735911
match,93,2025-05-24T16:15:00,2025,11,Brisbane Lions,Hawthorn,93.0,60.0,win,1551.9120753014463,1569.3794726488054,17.46739734735911
match,94,2025-05-24T19:35:00,2025,11,North Melbourne,Collingwood,63.0,108.0,loss,1442.1266896872496,1429.87020073996,-12.256488947289654
match,94,2025-05-24T19:35:00,2025,11,Collingwood,North Melbourne,108.0,63.0,win,1577.2074506175468,1589.4639395648364,12.256488947289654
match,95,2025-05-24T20:10:00,2025,11,Fremantle,Port Adelaide,100.0,51.0,win,1503.4668044844357,1514.8656406481493,11.398836163713668
match,95,2025-05-24T20:10:00,2025,11,Port Adelaide,Fremantle,51.0,100.0,loss,1467.7748204752788,1456.3759843115652,-11.398836163713668
match,96,2025-05-25T13:10:00,2025,11,Adelaide,West Coast,128.0,62.0,win,1527.6736122829595,1535.714063534284,8.040451251324384
match,96,2025-05-25T13:10:00,2025,11,West Coast,Adelaide,62.0,128.0,loss,1397.6679613959352,1389.6275101446108,-8.040451251324384
